,2014,2015,2016,2017,2018,2019
Kurgan region,62.7,63.1,67.3,68.59,72.9,75.2
Sverdlovsk region,73,69.3,75.5,74.7,80,82
Tyumen region,77.5,76.3,79.9,82.3,89.4,86.6
Khanty-Mansi Autonomous Okrug - Yugra (Tyumen Region),84.7,83.9,84.2,84.9,94.3,92.8
Yamal-Nenets Autonomous District (Tyumen Region),83,89,88.6,92.1,97.4,94.1
Tyumen Region (except for the Khanty-Mansiysk Autonomous Okrug-Yugra and the Yamalo-Nenets Autonomous Okrug),67,62.5,71.59,75.5,80.7,77
Chelyabinsk region,64.4,68.5,72.4,72.8,76,81.09
Siberian Federal District,64.5,66.3,69,71.8,72.3,73.3
Altai Republic,54.4,68.09,59,70.59,77.5,67.5
The Republic of Buryatia,60.6,59.4,62.1,72.3,77.5,83.7
Tyva Republic,50.7,56.5,63.3,72.4,78.8,76.8
The Republic of Khakassia,56,59.2,64,66.8,70.8,73.5
Altai region,65.7,67,68.2,71.8,73.9,78.9
Transbaikal region,53.9,57.8,65.2,64.5,68.7,72
Krasnoyarsk region,64.9,66.5,71.2,74.5,78.2,78.7
Irkutsk region,62.9,67.9,68.2,68.5,73.59,77.5
Kemerovo region - Kuzbass,67.4,65.5,70.8,71.3,75.5,77.4
Novosibirsk region,69.9,71.09,71.4,75,79.3,83.6
Omsk region,65.2,68,67.9,72.2,76.2,80.2
Tomsk region,65.3,68.09,72.8,72.5,76.59,81.09
Far Eastern Federal District,63.4,68.8,72.59,75,76.2,77.4
The Republic of Sakha (Yakutia),64.5,70.2,77.7,81.7,85,85.2
Kamchatka Krai,60.2,70.3,77.7,73.8,84,83.7
Primorsky Krai,65.5,65.8,71.5,73.5,78,77.4
Khabarovsk region,66.4,71.8,76.4,74.3,82,81.09
Amur region,48.8,66.59,66.5,75.4,76.2,79.9
Magadan Region,70.3,76.8,77.4,79.7,82.9,81.9
Sakhalin region,68.7,68.5,65.4,70.5,79.4,83.1
Jewish Autonomous Region,58.4,69.3,61.4,71.9,69.4,75.7
Chukotka Autonomous District,72.7,74.8,82.4,74.59,90.2,91.4
Crimean Federal District,70.3,71.5,72.09,73.5,74.59,80.2
